in:Length,in:Stiffness index,in:Strength class,in:CC Height,out:Transverse flexibility Te,out:Transverse flexibility,img
3,0,C14,70,118.088846,118.111,Length3_Stiffnessindex0_StrengthclassC14_CCHeight70_GH_Print.png
4,0,C14,70,371.872496,371.941,Length4_Stiffnessindex0_StrengthclassC14_CCHeight70_GH_Print.png
5,0,C14,70,906.370176,906.525,Length5_Stiffnessindex0_StrengthclassC14_CCHeight70_GH_Print.png
6,0,C14,70,1877.7352,1878.025,Length6_Stiffnessindex0_StrengthclassC14_CCHeight70_GH_Print.png
7,0,C14,70,3476.821617,3477.279,Length7_Stiffnessindex0_StrengthclassC14_CCHeight70_GH_Print.png
8,0,C14,70,5929.184213,5929.791,Length8_Stiffnessindex0_StrengthclassC14_CCHeight70_GH_Print.png
3,1,C14,70,86.85713,86.875,Length3_Stiffnessindex1_StrengthclassC14_CCHeight70_GH_Print.png
4,1,C14,70,273.16485,273.22,Length4_Stiffnessindex1_StrengthclassC14_CCHeight70_GH_Print.png
5,1,C14,70,665.384712,665.513,Length5_Stiffnessindex1_StrengthclassC14_CCHeight70_GH_Print.png
6,1,C14,70,1378.027743,1378.278,Length6_Stiffnessindex1_StrengthclassC14_CCHeight70_GH_Print.png
7,1,C14,70,2551.05186,2551.474,Length7_Stiffnessindex1_StrengthclassC14_CCHeight70_GH_Print.png
8,1,C14,70,4349.861878,4350.489,Length8_Stiffnessindex1_StrengthclassC14_CCHeight70_GH_Print.png
3,3,C14,70,59.257009,59.271,Length3_Stiffnessindex3_StrengthclassC14_CCHeight70_GH_Print.png
4,3,C14,70,185.934837,185.977,Length4_Stiffnessindex3_StrengthclassC14_CCHeight70_GH_Print.png
5,3,C14,70,452.420814,452.521,Length5_Stiffnessindex3_StrengthclassC14_CCHeight70_GH_Print.png
6,3,C14,70,936.425804,936.626,Length6_Stiffnessindex3_StrengthclassC14_CCHeight70_GH_Print.png
7,3,C14,70,1732.92975,1733.282,Length7_Stiffnessindex3_StrengthclassC14_CCHeight70_GH_Print.png
8,3,C14,70,2954.181676,2954.74,Length8_Stiffnessindex3_StrengthclassC14_CCHeight70_GH_Print.png
3,8,C14,70,43.132728,43.144,Length3_Stiffnessindex8_StrengthclassC14_CCHeight70_GH_Print.png
4,8,C14,70,134.974145,135.009,Length4_Stiffnessindex8_StrengthclassC14_CCHeight70_GH_Print.png
5,8,C14,70,328.005063,328.088,Length5_Stiffnessindex8_StrengthclassC14_CCHeight70_GH_Print.png
6,8,C14,70,678.437303,678.604,Length6_Stiffnessindex8_StrengthclassC14_CCHeight70_GH_Print.png
7,8,C14,70,1254.974201,1255.273,Length7_Stiffnessindex8_StrengthclassC14_CCHeight70_GH_Print.png
8,8,C14,70,2138.810611,2139.298,Length8_Stiffnessindex8_StrengthclassC14_CCHeight70_GH_Print.png
3,16,C14,70,35.025772,35.036,Length3_Stiffnessindex16_StrengthclassC14_CCHeight70_GH_Print.png
4,16,C14,70,109.352161,109.383,Length4_Stiffnessindex16_StrengthclassC14_CCHeight70_GH_Print.png
5,16,C14,70,265.45139,265.524,Length5_Stiffnessindex16_StrengthclassC14_CCHeight70_GH_Print.png
6,16,C14,70,548.726005,548.875,Length6_Stiffnessindex16_StrengthclassC14_CCHeight70_GH_Print.png
7,16,C14,70,1014.668009,1014.937,Length7_Stiffnessindex16_StrengthclassC14_CCHeight70_GH_Print.png
8,16,C14,70,1728.858856,1729.303,Length8_Stiffnessindex16_StrengthclassC14_CCHeight70_GH_Print.png
3,27,C14,70,30.855432,30.865,Length3_Stiffnessindex27_StrengthclassC14_CCHeight70_GH_Print.png
4,27,C14,70,96.171829,96.2,Length4_Stiffnessindex27_StrengthclassC14_CCHeight70_GH_Print.png
5,27,C14,70,233.272847,233.341,Length5_Stiffnessindex27_StrengthclassC14_CCHeight70_GH_Print.png
6,27,C14,70,482.000578,482.14,Length6_Stiffnessindex27_StrengthclassC14_CCHeight70_GH_Print.png
7,27,C14,70,891.050917,891.303,Length7_Stiffnessindex27_StrengthclassC14_CCHeight70_GH_Print.png
8,27,C14,70,1517.973555,1518.393,Length8_Stiffnessindex27_StrengthclassC14_CCHeight70_GH_Print.png
3,43,C14,70,28.569526,28.578,Length3_Stiffnessindex43_StrengthclassC14_CCHeight70_GH_Print.png
4,43,C14,70,88.947238,88.974,Length4_Stiffnessindex43_StrengthclassC14_CCHeight70_GH_Print.png
5,43,C14,70,215.634683,215.7,Length5_Stiffnessindex43_StrengthclassC14_CCHeight70_GH_Print.png
6,43,C14,70,445.426082,445.56,Length6_Stiffnessindex43_StrengthclassC14_CCHeight70_GH_Print.png
7,43,C14,70,823.292147,823.535,Length7_Stiffnessindex43_StrengthclassC14_CCHeight70_GH_Print.png
8,43,C14,70,1402.380085,1402.785,Length8_Stiffnessindex43_StrengthclassC14_CCHeight70_GH_Print.png
3,64,C14,70,27.232945,27.241,Length3_Stiffnessindex64_StrengthclassC14_CCHeight70_GH_Print.png
4,64,C14,70,84.72298,84.749,Length4_Stiffnessindex64_StrengthclassC14_CCHeight70_GH_Print.png
5,64,C14,70,205.321555,205.385,Length5_Stiffnessindex64_StrengthclassC14_CCHeight70_GH_Print.png
6,64,C14,70,424.040779,424.171,Length6_Stiffnessindex64_StrengthclassC14_CCHeight70_GH_Print.png
7,64,C14,70,783.673234,783.911,Length7_Stiffnessindex64_StrengthclassC14_CCHeight70_GH_Print.png
8,64,C14,70,1334.791968,1335.188,Length8_Stiffnessindex64_StrengthclassC14_CCHeight70_GH_Print.png
3,0,C18,70,91.85461,91.872,Length3_Stiffnessindex0_StrengthclassC18_CCHeight70_GH_Print.png
4,0,C18,70,289.247904,289.302,Length4_Stiffnessindex0_StrengthclassC18_CCHeight70_GH_Print.png
5,0,C18,70,704.976051,705.102,Length5_Stiffnessindex0_StrengthclassC18_CCHeight70_GH_Print.png
6,0,C18,70,1460.491628,1460.732,Length6_Stiffnessindex0_StrengthclassC18_CCHeight70_GH_Print.png
7,0,C18,70,2704.236672,2704.635,Length7_Stiffnessindex0_StrengthclassC18_CCHeight70_GH_Print.png
8,0,C18,70,4611.642683,4612.217,Length8_Stiffnessindex0_StrengthclassC18_CCHeight70_GH_Print.png
3,1,C18,70,67.563275,67.577,Length3_Stiffnessindex1_StrengthclassC18_CCHeight70_GH_Print.png
