out:Span,out:Height,out:Material frame,out:Material interm ,out:Width,out:Height column-base,out:Height column-corner,out:Height beam-corner,out:Height beam-apex,out:SI column-base,out:SI corner,out:SI beam-apex,out:SI interm -base,out:Material bracing,out:Area bracing,out:Height interm ,out:Spacing interm ,out:Pitch,out:No  interm ,out:Corner deflection,out:Max deflection,img,in:CurrentObject
36.170102,5.460194,13.239424,10.470375,189.724527,1184.496864,799.765221,446.654001,1809.124773,38.701067,36.123454,29.02678,1.365967,210,937.424388,429.584701,3.828602,12.728398,1,2.182439,2.714597,CurrentObject0_GH_Print.png,0
34.940606,5.104578,13.205271,13.017707,192.376987,575.327278,986.395793,1816.805922,511.364636,6.146826,8.822803,24.016477,34.569168,12.783818,23484.21302,560.465292,7.92559,12.225643,0,14.664587,17.598803,CurrentObject1_GH_Print.png,1
26.005628,6.712372,10.446098,11.288655,190.687675,889.627869,1168.812315,1398.495351,550.02762,11.012745,0.166274,1.753262,0.037606,9.924853,21320.54731,505.234615,5.307948,9.276465,0,14.576055,14.625201,CurrentObject2_GH_Print.png,2
35.89057,6.264348,11.669648,12.903081,180.949893,1225.895071,1791.747707,629.927975,1783.781083,0.617669,6.4017,0.835566,27.474325,11.08772,18962.7293,494.624407,2.990885,12.829801,3,3.063703,3.139269,CurrentObject3_GH_Print.png,3
8.990114,6.711401,10.931402,11.024507,212.623403,1451.008132,1722.406167,991.897298,1342.674241,14.092967,3.903231,8.738411,9.514272,210,399.651067,630.859077,1.458443,3.322799,2,1.197003,1.197003,CurrentObject4_GH_Print.png,4
54.845465,5.930113,11.784201,9.971878,200.536904,892.540705,829.268862,730.513794,1120.508811,0.004918,0.028532,32.629296,32.493392,10.209223,20550.67785,599.842905,8.74639,2.935928,2,0.843916,1.417,CurrentObject5_GH_Print.png,5
31.229747,5.379438,11.673267,10.21232,168.571805,900.347213,688.71761,748.107202,1526.181403,14.385652,6.055198,0.28608,8.418211,12.646335,15628.19431,313.8843,2.809053,16.21658,3,2.518721,2.675834,CurrentObject6_GH_Print.png,6
51.861489,5.377321,10.459387,9.642825,136.141661,840.713982,1754.170593,955.537536,1326.146883,9.791054,0.053018,19.365299,0.420969,210,1049.603013,275.624799,4.835036,22.934806,3,4.904046,6.150037,CurrentObject7_GH_Print.png,7
35.792074,5.724802,13.323264,11.59154,183.012549,1491.890951,779.617639,905.033378,896.692067,4.451397,27.243091,22.844241,23.548669,13.85579,23482.72907,537.107704,6.132243,11.313486,0,8.200991,11.258785,CurrentObject8_GH_Print.png,8
39.724427,6.704064,13.35831,9.620001,179.786553,1627.248093,1549.126261,596.446615,922.91067,13.997552,1.682528,35.685763,0.005565,12.832869,19877.99917,436.04004,4.327714,17.332356,1,2.184835,7.515314,CurrentObject9_GH_Print.png,9
30.452445,3.931116,12.643639,10.578068,208.088034,520.254703,562.864582,1383.055932,1649.587502,33.943649,13.616554,0.582847,11.483305,12.527195,21776.61961,487.960323,4.887973,24.394192,2,0.91686,1.069971,CurrentObject10_GH_Print.png,10
49.896352,5.378948,13.082336,11.624539,208.940716,1401.05132,935.441728,1758.331695,1305.507758,31.399049,0.13953,12.061724,7.544277,210,1406.148851,397.612138,9.506995,22.94461,1,2.107673,3.477405,CurrentObject11_GH_Print.png,11
15.811189,6.501595,10.813697,12.487893,156.956044,1355.562673,1834.219951,1601.0614,1344.358054,9.342145,0.022742,0.041278,0.580086,8.568273,23415.94616,354.882442,3.5596,4.41047,1,0.943819,0.951,CurrentObject12_GH_Print.png,12
17.566468,4.976146,12.288963,10.970207,155.418789,1131.659231,1337.207502,527.796129,1685.590923,29.280682,0.262882,2.270415,30.487525,9.560385,9405.85057,460.414545,3.914265,24.37466,1,1.721769,1.892229,CurrentObject13_GH_Print.png,13
13.099025,4.659889,11.140564,11.555106,201.694274,1282.651768,1289.797695,1259.13138,1545.377363,0.478871,0.123791,4.544737,0.042902,13.288968,9309.767139,525.642085,2.69305,8.665869,0,4.415582,4.424905,CurrentObject14_GH_Print.png,14
28.12946,4.210293,10.68139,8.704434,168.618886,1007.901276,1470.771078,1491.719194,1187.80613,30.974524,1.466331,0.001992,0.202223,210,522.317278,364.301917,3.036632,23.650996,1,2.089405,3.14011,CurrentObject15_GH_Print.png,15
28.820925,5.184017,11.425341,9.825429,166.405619,903.379521,1096.729358,1646.325738,453.338156,11.500915,0.247159,2.696613,1.33E-08,9.418153,13833.68605,479.49756,6.916506,18.722267,1,1.920667,2.44578,CurrentObject16_GH_Print.png,16
31.01344,6.698535,10.498953,13.109845,208.481898,880.717839,1171.663055,1790.332946,1764.005269,0.497411,2.060549,0.373707,1.231735,210,274.630558,553.795149,2.705969,20.943668,1,13.879942,14.337455,CurrentObject17_GH_Print.png,17
39.747308,6.022276,12.010724,11.995121,125.747972,1201.873617,999.060522,1741.197081,1206.794864,0.743774,33.381019,0.00003,3.615841,13.368722,9565.622482,258.326803,4.561128,13.361957,1,4.169941,5.035293,CurrentObject18_GH_Print.png,18
54.510943,6.612756,13.381744,13.491062,180.995931,539.753062,1216.278312,1425.71477,522.925117,1.798806,26.437113,17.018503,3.128166,12.5627,20386.37488,523.92057,6.194947,23.373088,3,3.659159,5.159704,CurrentObject19_GH_Print.png,19
21.312207,6.233915,11.620434,10.395902,159.776995,1291.311336,945.900859,1552.010355,1412.799241,0.468392,0.04784,0.001044,10.375767,210,647.098213,365.111421,2.430081,4.335416,1,2.705431,2.705431,CurrentObject20_GH_Print.png,20
