Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
0.000000,0.000000,2.000000,7.700496,5.839103,0.834748
0.000000,0.000000,8.000000,0.156107,0.136152,0.019464
0.000000,0.000000,10.000000,0.436916,0.320544,0.045824
0.000000,0.000000,12.000000,0.092738,0.067495,0.009649
0.000000,0.000000,14.000000,0.049159,0.059381,0.008489
0.000000,0.000000,16.000000,0.085806,0.056734,0.008111
0.000000,0.000000,20.000000,0.160734,0.080065,0.011446
0.000000,1.000000,2.000000,7.366099,7.246643,1.035967
0.000000,1.000000,8.000000,0.122312,0.097203,0.013896
0.000000,1.000000,10.000000,0.136739,0.061435,0.008783
0.000000,1.000000,12.000000,0.154268,0.075050,0.010729
0.000000,1.000000,14.000000,0.060067,0.043526,0.006222
0.000000,1.000000,16.000000,0.068114,0.052223,0.007466
0.000000,1.000000,20.000000,0.027029,0.044775,0.006401
0.000000,2.000000,2.000000,7.693758,7.628880,1.090611
0.000000,2.000000,8.000000,0.258714,0.552108,0.078928
0.000000,2.000000,10.000000,0.075145,0.181935,0.026009
0.000000,2.000000,12.000000,0.050996,0.156045,0.022308
0.000000,2.000000,14.000000,0.023905,0.064592,0.009234
0.000000,2.000000,16.000000,0.151320,0.345717,0.049423
0.000000,2.000000,20.000000,0.555947,1.030102,0.147262
0.000000,3.000000,2.000000,7.095245,8.566451,1.224645
0.000000,3.000000,8.000000,0.227890,0.280502,0.040100
0.000000,3.000000,10.000000,0.248803,0.729523,0.104291
0.000000,3.000000,12.000000,0.324583,0.888074,0.126957
0.000000,3.000000,14.000000,0.161628,0.526435,0.075258
0.000000,3.000000,16.000000,0.133361,0.426729,0.061004
0.000000,3.000000,20.000000,0.044846,0.175761,0.025126
0.000000,4.000000,2.000000,6.941340,8.563278,1.224191
0.000000,4.000000,8.000000,0.890566,1.000133,0.142977
0.000000,4.000000,10.000000,0.115704,0.141280,0.020197
0.000000,4.000000,12.000000,0.367428,0.272348,0.038934
0.000000,4.000000,14.000000,0.125393,0.080599,0.011522
0.000000,4.000000,16.000000,0.045863,0.065533,0.009368
0.000000,4.000000,20.000000,0.017105,0.037445,0.005353
0.000000,5.000000,2.000000,7.373604,6.685733,0.955781
0.000000,5.000000,8.000000,0.836019,0.765166,0.109387
0.000000,5.000000,10.000000,0.119850,0.107294,0.015339
0.000000,5.000000,12.000000,0.204450,0.155796,0.022272
0.000000,5.000000,14.000000,0.299905,0.229058,0.032746
0.000000,5.000000,16.000000,0.127976,0.102628,0.014671
0.000000,5.000000,20.000000,0.113700,0.076190,0.010892
0.000000,6.000000,2.000000,6.891603,7.887128,1.121948
0.000000,6.000000,8.000000,0.756050,1.068717,0.152026
0.000000,6.000000,10.000000,0.212257,0.259419,0.036903
0.000000,6.000000,12.000000,0.070921,0.096408,0.013714
0.000000,6.000000,14.000000,0.393411,0.308226,0.043845
0.000000,6.000000,16.000000,0.206445,0.173780,0.024720
0.000000,6.000000,20.000000,0.015697,0.033547,0.004772
1.000000,0.000000,2.000000,7.126405,6.602661,0.943237
1.000000,0.000000,8.000000,0.241881,0.149147,0.021307
1.000000,0.000000,10.000000,0.116585,0.055997,0.008000
