Iter,Loss
1.0000e+02,7.0561e+02
2.0000e+02,6.4701e+02
3.0000e+02,5.9597e+02
4.0000e+02,5.6228e+02
5.0000e+02,5.3605e+02
6.0000e+02,5.1326e+02
7.0000e+02,4.9254e+02
8.0000e+02,4.7331e+02
9.0000e+02,4.5530e+02
1.0000e+03,4.3832e+02
1.1000e+03,4.2219e+02
1.2000e+03,4.0677e+02
1.3000e+03,3.9193e+02
1.4000e+03,3.7775e+02
1.5000e+03,3.6422e+02
1.6000e+03,3.5125e+02
1.7000e+03,3.3877e+02
1.8000e+03,3.2671e+02
1.9000e+03,3.1505e+02
2.0000e+03,3.0382e+02
2.1000e+03,2.9300e+02
2.2000e+03,2.8258e+02
2.3000e+03,2.7253e+02
2.4000e+03,2.6283e+02
2.5000e+03,2.5348e+02
2.6000e+03,2.4447e+02
2.7000e+03,2.3577e+02
2.8000e+03,2.2738e+02
2.9000e+03,2.1928e+02
3.0000e+03,2.1145e+02
3.1000e+03,2.0389e+02
3.2000e+03,1.9659e+02
3.3000e+03,1.8955e+02
3.4000e+03,1.8275e+02
3.5000e+03,1.7618e+02
3.6000e+03,1.6983e+02
3.7000e+03,1.6370e+02
3.8000e+03,1.5777e+02
3.9000e+03,1.5204e+02
4.0000e+03,1.4649e+02
4.1000e+03,1.4112e+02
4.2000e+03,1.3592e+02
4.3000e+03,1.3090e+02
4.4000e+03,1.2604e+02
4.5000e+03,1.2134e+02
4.6000e+03,1.1680e+02
4.7000e+03,1.1241e+02
4.8000e+03,1.0817e+02
4.9000e+03,1.0407e+02
5.0000e+03,1.0010e+02
5.1000e+03,9.6264e+01
5.2000e+03,9.2555e+01
5.3000e+03,8.8970e+01
5.4000e+03,8.5508e+01
5.5000e+03,8.2162e+01
5.6000e+03,7.8927e+01
5.7000e+03,7.5799e+01
5.8000e+03,7.2774e+01
5.9000e+03,6.9852e+01
6.0000e+03,6.7030e+01
6.1000e+03,6.4304e+01
6.2000e+03,6.1674e+01
6.3000e+03,5.9135e+01
6.4000e+03,5.6687e+01
6.5000e+03,5.4326e+01
6.6000e+03,5.2052e+01
6.7000e+03,4.9860e+01
6.8000e+03,4.7749e+01
6.9000e+03,4.5717e+01
7.0000e+03,4.3762e+01
7.1000e+03,4.1883e+01
7.2000e+03,4.0075e+01
7.3000e+03,3.8338e+01
7.4000e+03,3.6667e+01
7.5000e+03,3.5061e+01
7.6000e+03,3.3517e+01
7.7000e+03,3.2032e+01
7.8000e+03,3.0604e+01
7.9000e+03,2.9231e+01
8.0000e+03,2.7910e+01
8.1000e+03,2.6640e+01
8.2000e+03,2.5418e+01
8.3000e+03,2.4243e+01
8.4000e+03,2.3113e+01
8.5000e+03,2.2028e+01
8.6000e+03,2.0987e+01
8.7000e+03,1.9990e+01
8.8000e+03,1.9036e+01
8.9000e+03,1.8122e+01
9.0000e+03,1.7248e+01
9.1000e+03,1.6411e+01
9.2000e+03,1.5610e+01
9.3000e+03,1.4843e+01
9.4000e+03,1.4110e+01
9.5000e+03,1.3408e+01
9.6000e+03,1.2737e+01
9.7000e+03,1.2096e+01
9.8000e+03,1.1483e+01
9.9000e+03,1.0899e+01
1.0000e+04,1.0342e+01
1.0100e+04,9.8102e+00
1.0200e+04,9.3038e+00
1.0300e+04,8.8213e+00
1.0400e+04,8.3617e+00
1.0500e+04,7.9245e+00
1.0600e+04,7.5075e+00
1.0700e+04,7.1109e+00
1.0800e+04,6.7337e+00
1.0900e+04,6.3752e+00
1.1000e+04,6.0335e+00
1.1100e+04,5.7091e+00
1.1200e+04,5.4008e+00
1.1300e+04,5.1079e+00
1.1400e+04,4.8299e+00
1.1500e+04,4.5656e+00
1.1600e+04,4.3150e+00
1.1700e+04,4.0773e+00
1.1800e+04,3.8520e+00
1.1900e+04,3.6386e+00
1.2000e+04,3.4368e+00
1.2100e+04,3.2451e+00
1.2200e+04,3.0640e+00
1.2300e+04,2.8927e+00
1.2400e+04,2.7304e+00
1.2500e+04,2.5769e+00
1.2600e+04,2.4315e+00
1.2700e+04,2.2938e+00
1.2800e+04,2.1638e+00
1.2900e+04,2.0401e+00
1.3000e+04,1.9230e+00
1.3100e+04,1.8113e+00
1.3200e+04,1.7059e+00
1.3300e+04,1.6060e+00
1.3400e+04,1.5113e+00
1.3500e+04,1.4215e+00
1.3600e+04,1.3364e+00
1.3700e+04,1.2559e+00
1.3800e+04,1.1797e+00
1.3900e+04,1.1078e+00
1.4000e+04,1.0396e+00
1.4100e+04,9.7539e-01
1.4200e+04,9.1488e-01
1.4300e+04,8.5792e-01
1.4400e+04,8.0462e-01
1.4500e+04,7.5444e-01
1.4600e+04,7.0679e-01
1.4700e+04,6.6249e-01
1.4800e+04,6.2098e-01
1.4900e+04,5.8212e-01
1.5000e+04,5.4579e-01
1.5100e+04,5.1176e-01
1.5200e+04,4.7999e-01
1.5300e+04,4.5030e-01
1.5400e+04,4.2337e-01
1.5500e+04,3.9668e-01
1.5600e+04,3.7251e-01
1.5700e+04,3.4998e-01
1.5800e+04,3.2889e-01
1.5900e+04,3.0923e-01
1.6000e+04,2.9089e-01
1.6100e+04,2.7376e-01
1.6200e+04,2.5780e-01
1.6300e+04,2.4284e-01
1.6400e+04,2.2891e-01
1.6500e+04,2.1589e-01
1.6600e+04,2.0372e-01
1.6700e+04,1.9239e-01
1.6800e+04,1.8174e-01
1.6900e+04,1.7184e-01
1.7000e+04,1.6257e-01
1.7100e+04,1.5386e-01
1.7200e+04,1.4575e-01
1.7300e+04,1.3832e-01
1.7400e+04,1.3107e-01
1.7500e+04,1.2445e-01
1.7600e+04,1.1824e-01
1.7700e+04,1.1244e-01
1.7800e+04,1.0702e-01
