Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
0.000000,0.000000,2.000000,0.544114,0.560038,0.080018
0.000000,0.000000,8.000000,0.210612,0.242124,0.034595
0.000000,0.000000,14.000000,0.082394,0.154263,0.022041
0.000000,0.000000,18.000000,0.068053,0.178905,0.025562
0.000000,0.000000,24.000000,0.107424,0.178177,0.025458
0.000000,0.000000,28.000000,0.058122,0.274214,0.039179
0.000000,1.000000,2.000000,0.466715,0.499659,0.071391
0.000000,1.000000,8.000000,0.142297,0.184452,0.026354
0.000000,1.000000,14.000000,0.128800,0.241306,0.034478
0.000000,1.000000,18.000000,0.058954,0.225540,0.032225
0.000000,1.000000,24.000000,0.041276,0.180425,0.025779
0.000000,1.000000,28.000000,0.042200,0.279256,0.039900
0.000000,2.000000,2.000000,0.471255,0.454223,0.064899
0.000000,2.000000,8.000000,0.204594,0.223469,0.031929
0.000000,2.000000,14.000000,0.166249,0.234570,0.033515
0.000000,2.000000,18.000000,0.131039,0.194172,0.027743
0.000000,2.000000,24.000000,0.059382,0.153426,0.021921
0.000000,2.000000,28.000000,0.062758,0.280240,0.040041
0.000000,3.000000,2.000000,0.536603,0.606147,0.086606
0.000000,3.000000,8.000000,0.221924,0.271307,0.038764
0.000000,3.000000,14.000000,0.094891,0.193158,0.027598
0.000000,3.000000,18.000000,0.056884,0.194147,0.027740
0.000000,3.000000,24.000000,0.041851,0.225743,0.032254
0.000000,3.000000,28.000000,0.080195,0.295396,0.042206
0.000000,4.000000,2.000000,0.546267,0.548946,0.078433
0.000000,4.000000,8.000000,0.162696,0.177184,0.025316
0.000000,4.000000,14.000000,0.106666,0.141598,0.020231
0.000000,4.000000,18.000000,0.091121,0.173209,0.024748
0.000000,4.000000,24.000000,0.040090,0.190095,0.027161
0.000000,4.000000,28.000000,0.035286,0.234855,0.033556
0.000000,5.000000,2.000000,0.565835,0.461622,0.065920
0.000000,5.000000,8.000000,0.137231,0.155845,0.022255
0.000000,5.000000,14.000000,0.113922,0.158631,0.022653
0.000000,5.000000,18.000000,0.081919,0.168935,0.024124
0.000000,5.000000,24.000000,0.052826,0.237255,0.033880
0.000000,5.000000,28.000000,0.030877,0.214866,0.030683
0.000000,6.000000,2.000000,0.536052,0.611114,0.087268
0.000000,6.000000,8.000000,0.224456,0.319001,0.045554
0.000000,6.000000,14.000000,0.104078,0.182849,0.026111
0.000000,6.000000,18.000000,0.070235,0.202014,0.028848
0.000000,6.000000,24.000000,0.057399,0.381374,0.054461
0.000000,6.000000,28.000000,0.038123,0.348365,0.049747
1.000000,0.000000,2.000000,0.571481,0.688032,0.098305
1.000000,0.000000,8.000000,0.188838,0.297290,0.042477
1.000000,0.000000,14.000000,0.076439,0.192773,0.027543
1.000000,0.000000,18.000000,0.063263,0.186639,0.026667
1.000000,0.000000,24.000000,0.044697,0.244293,0.034904
1.000000,0.000000,28.000000,0.045790,0.384362,0.054917
1.000000,1.000000,2.000000,0.549594,0.529874,0.075708
1.000000,1.000000,8.000000,0.153590,0.168479,0.024072
1.000000,1.000000,14.000000,0.114101,0.180518,0.025792
1.000000,1.000000,18.000000,0.082145,0.129409,0.018490
1.000000,1.000000,24.000000,0.060269,0.285290,0.040762
1.000000,1.000000,28.000000,0.029826,0.201734,0.028824
1.000000,2.000000,2.000000,0.508949,0.569142,0.081319
1.000000,2.000000,8.000000,0.140586,0.206537,0.029510
1.000000,2.000000,14.000000,0.086373,0.156495,0.022360
1.000000,2.000000,18.000000,0.070433,0.208627,0.029808
1.000000,2.000000,24.000000,0.060498,0.251511,0.035936
1.000000,2.000000,28.000000,0.039171,0.417452,0.059645
1.000000,3.000000,2.000000,0.547024,0.542442,0.077504
1.000000,3.000000,8.000000,0.196077,0.214417,0.030636
1.000000,3.000000,14.000000,0.094095,0.151569,0.021656
1.000000,3.000000,18.000000,0.066441,0.158236,0.022609
1.000000,3.000000,24.000000,0.072358,0.349041,0.049871
1.000000,3.000000,28.000000,0.043890,0.177721,0.025393
1.000000,4.000000,2.000000,0.557085,0.489874,0.069993
1.000000,4.000000,8.000000,0.159738,0.180955,0.025855
1.000000,4.000000,14.000000,0.097794,0.184509,0.026363
1.000000,4.000000,18.000000,0.091487,0.177080,0.025301
1.000000,4.000000,24.000000,0.050725,0.200732,0.028680
1.000000,4.000000,28.000000,0.038351,0.214398,0.030633
1.000000,5.000000,2.000000,0.547321,0.546131,0.077989
1.000000,5.000000,8.000000,0.173732,0.231141,0.033007
1.000000,5.000000,14.000000,0.100943,0.204117,0.029148
1.000000,5.000000,18.000000,0.075508,0.300611,0.042928
1.000000,5.000000,24.000000,0.046548,0.270539,0.038633
1.000000,5.000000,28.000000,0.037574,0.245347,0.035036
1.000000,6.000000,2.000000,0.562742,0.505497,0.072186
1.000000,6.000000,8.000000,0.212925,0.208677,0.029799
1.000000,6.000000,14.000000,0.077039,0.134125,0.019153
1.000000,6.000000,18.000000,0.064031,0.113556,0.016216
1.000000,6.000000,24.000000,0.038356,0.143451,0.020485
1.000000,6.000000,28.000000,0.049220,0.139413,0.019908
2.000000,0.000000,2.000000,0.657311,0.667015,0.095303
2.000000,0.000000,8.000000,0.204387,0.272888,0.038990
2.000000,0.000000,14.000000,0.128451,0.224598,0.032090
2.000000,0.000000,18.000000,0.078333,0.154040,0.022009
2.000000,0.000000,24.000000,0.038972,0.206070,0.029443
2.000000,0.000000,28.000000,0.042611,0.468929,0.067000
2.000000,1.000000,2.000000,0.463934,0.482014,0.068870
2.000000,1.000000,8.000000,0.162088,0.185588,0.026517
2.000000,1.000000,14.000000,0.094576,0.150175,0.021457
2.000000,1.000000,18.000000,0.113319,0.207660,0.029670
2.000000,1.000000,24.000000,0.068997,0.186876,0.026701
2.000000,1.000000,28.000000,0.046545,0.184441,0.026353
2.000000,2.000000,2.000000,0.650258,0.641050,0.091593
2.000000,2.000000,8.000000,0.206970,0.222765,0.031829
2.000000,2.000000,14.000000,0.101924,0.165255,0.023612
2.000000,2.000000,18.000000,0.086368,0.193978,0.027716
2.000000,2.000000,24.000000,0.037182,0.217250,0.031040
2.000000,2.000000,28.000000,0.033465,0.316819,0.045267
2.000000,3.000000,2.000000,0.546608,0.551488,0.078796
2.000000,3.000000,8.000000,0.178801,0.276529,0.039510
2.000000,3.000000,14.000000,0.082188,0.156891,0.022417
2.000000,3.000000,18.000000,0.082562,0.179877,0.025701
2.000000,3.000000,24.000000,0.054139,0.261818,0.037408
2.000000,3.000000,28.000000,0.035777,0.252475,0.036073
2.000000,4.000000,2.000000,0.453927,0.562877,0.080423
2.000000,4.000000,8.000000,0.190650,0.232815,0.033264
2.000000,4.000000,14.000000,0.141946,0.216223,0.030894
2.000000,4.000000,18.000000,0.071854,0.167890,0.023988
2.000000,4.000000,24.000000,0.050134,0.224718,0.032108
2.000000,4.000000,28.000000,0.041177,0.319302,0.045622
2.000000,5.000000,2.000000,0.473974,0.435014,0.062121
2.000000,5.000000,8.000000,0.229912,0.262451,0.037478
2.000000,5.000000,14.000000,0.098248,0.165469,0.023629
2.000000,5.000000,18.000000,0.061824,0.147877,0.021117
2.000000,5.000000,24.000000,0.046499,0.272822,0.038960
2.000000,5.000000,28.000000,0.045411,0.205740,0.029380
2.000000,6.000000,2.000000,0.543683,0.571255,0.081576
2.000000,6.000000,8.000000,0.227569,0.249573,0.035640
2.000000,6.000000,14.000000,0.130181,0.199016,0.028420
2.000000,6.000000,18.000000,0.077151,0.170091,0.024289
2.000000,6.000000,24.000000,0.052662,0.283303,0.040456
2.000000,6.000000,28.000000,0.035346,0.384098,0.054850
3.000000,0.000000,2.000000,0.555577,0.530761,0.075835
3.000000,0.000000,8.000000,0.192302,0.241228,0.034466
3.000000,0.000000,14.000000,0.103549,0.198268,0.028328
3.000000,0.000000,18.000000,0.070208,0.257941,0.036854
3.000000,0.000000,24.000000,0.044362,0.232792,0.033261
3.000000,0.000000,28.000000,0.047101,0.277741,0.039683
3.000000,1.000000,2.000000,0.541032,0.580897,0.082998
3.000000,1.000000,8.000000,0.159963,0.195823,0.027979
3.000000,1.000000,14.000000,0.100413,0.161520,0.023078
3.000000,1.000000,18.000000,0.056527,0.149459,0.021355
3.000000,1.000000,24.000000,0.040995,0.230353,0.032913
3.000000,1.000000,28.000000,0.053152,0.268775,0.038402
3.000000,2.000000,2.000000,0.615693,0.559076,0.079880
3.000000,2.000000,8.000000,0.169287,0.231859,0.033128
3.000000,2.000000,14.000000,0.087247,0.135847,0.019410
3.000000,2.000000,18.000000,0.086526,0.229747,0.032826
3.000000,2.000000,24.000000,0.062928,0.209184,0.029888
3.000000,2.000000,28.000000,0.036543,0.252656,0.036099
3.000000,3.000000,2.000000,0.544726,0.559792,0.079983
3.000000,3.000000,8.000000,0.233109,0.240175,0.034316
3.000000,3.000000,14.000000,0.162908,0.200968,0.028714
3.000000,3.000000,18.000000,0.094426,0.235033,0.033581
3.000000,3.000000,24.000000,0.044881,0.212574,0.030372
3.000000,3.000000,28.000000,0.040619,0.227361,0.032485
3.000000,4.000000,2.000000,0.633622,0.742305,0.106060
3.000000,4.000000,8.000000,0.161240,0.229810,0.032835
3.000000,4.000000,14.000000,0.108803,0.201643,0.028811
3.000000,4.000000,18.000000,0.050623,0.157012,0.022434
3.000000,4.000000,24.000000,0.047072,0.184346,0.026339
