Iter,Loss
1.0000e+02,1.6097e+00
2.0000e+02,1.3994e+00
3.0000e+02,1.2927e+00
4.0000e+02,1.2236e+00
5.0000e+02,1.1505e+00
6.0000e+02,1.0349e+00
7.0000e+02,9.0517e-01
8.0000e+02,7.9874e-01
9.0000e+02,7.1960e-01
1.0000e+03,6.5793e-01
1.1000e+03,6.1071e-01
1.2000e+03,5.7084e-01
1.3000e+03,5.3468e-01
1.4000e+03,5.0170e-01
1.5000e+03,4.7240e-01
1.6000e+03,4.4768e-01
1.7000e+03,4.2743e-01
1.8000e+03,4.1064e-01
1.9000e+03,3.9599e-01
2.0000e+03,3.8256e-01
2.1000e+03,3.7023e-01
2.2000e+03,3.5915e-01
2.3000e+03,3.4922e-01
2.4000e+03,3.4012e-01
2.5000e+03,3.3167e-01
2.6000e+03,3.2367e-01
2.7000e+03,3.1585e-01
2.8000e+03,3.0849e-01
2.9000e+03,3.0165e-01
3.0000e+03,2.9495e-01
3.1000e+03,2.8817e-01
3.2000e+03,2.8261e-01
3.3000e+03,2.7808e-01
3.4000e+03,2.7389e-01
3.5000e+03,2.6918e-01
3.6000e+03,2.6161e-01
3.7000e+03,2.5652e-01
3.8000e+03,2.5272e-01
3.9000e+03,2.4946e-01
4.0000e+03,2.4657e-01
4.1000e+03,2.4398e-01
4.2000e+03,2.4166e-01
4.3000e+03,2.3957e-01
4.4000e+03,2.3768e-01
4.5000e+03,2.3596e-01
4.6000e+03,2.3438e-01
4.7000e+03,2.3293e-01
4.8000e+03,2.3160e-01
4.9000e+03,2.3036e-01
5.0000e+03,2.2922e-01
5.1000e+03,2.2816e-01
5.2000e+03,2.2718e-01
5.3000e+03,2.2626e-01
5.4000e+03,2.2541e-01
5.5000e+03,2.2460e-01
5.6000e+03,2.2383e-01
5.7000e+03,2.2309e-01
5.8000e+03,2.2228e-01
5.9000e+03,2.2061e-01
6.0000e+03,2.1921e-01
6.1000e+03,2.1824e-01
6.2000e+03,2.1739e-01
6.3000e+03,2.1658e-01
6.4000e+03,2.1585e-01
6.5000e+03,2.1519e-01
6.6000e+03,2.1459e-01
6.7000e+03,2.1401e-01
6.8000e+03,2.1347e-01
6.9000e+03,2.1299e-01
7.0000e+03,2.1252e-01
7.1000e+03,2.1209e-01
7.2000e+03,2.1168e-01
7.3000e+03,2.1130e-01
7.4000e+03,2.1094e-01
7.5000e+03,2.1061e-01
